,City,Country,Temperature (F),Latitude,Longitude,Humidity(%),Cloudiness(%),WindSpeed (mph)
0,Torbay,CA,35.6,47.66,-52.73,93,90,31.09
1,Bambous Virieux,MU,73.4,-20.34,57.76,83,75,5.82
2,Sorland,NO,46.46,67.67,12.69,100,92,1.14
3,Vila Velha,BR,87.8,-3.71,-38.6,48,0,18.34
4,Port Lincoln,AU,60.55,-34.72,135.86,94,0,13.44
5,Rome,IT,49.93,41.89,12.48,50,0,6.93
6,Yorkton,CA,9.11,51.21,-102.46,68,0,16.69
7,Jamestown,AU,47.32,-33.21,138.6,63,0,6.4
8,Solnechnyy,RU,9.25,50.72,136.64,69,0,3.94
9,New Norfolk,AU,51.8,-42.78,147.06,71,75,4.7
10,Mataura,NZ,42.73,-46.19,168.86,91,68,9.75
11,Campeche,MX,78.8,19.84,-90.54,57,20,11.41
12,Alyangula,AU,82.64,-13.85,136.42,100,8,7.18
13,Lagoa,PT,64.4,37.14,-8.45,82,40,16.11
14,Dali,CN,38.81,25.6,100.24,100,0,2.71
15,Ushuaia,AR,50.81,-54.81,-68.31,37,40,5.82
16,San Patricio,PY,84.89,-26.98,-56.83,78,32,8.63
17,Hermanus,ZA,60.82,-34.42,19.24,65,0,6.73
18,Upernavik,GL,24.64,72.79,-56.15,100,88,12.66
19,Castro,CL,53.39,-42.48,-73.76,88,92,6.17
20,Gornyy,RU,12.04,51.76,48.54,69,20,3.94
21,Rikitea,PF,75.89,-23.12,-134.97,96,0,11.21
22,Albany,US,41.09,42.65,-73.75,52,90,13.87
23,Kachug,RU,-9.03,53.96,105.89,61,32,2.71
24,Chuy,UY,68.74,-33.69,-53.46,100,92,24.29
25,Mar del Plata,AR,67.79,-46.43,-67.52,34,32,3.04
26,Hilo,US,64.51,19.71,-155.08,93,90,4.7
27,Malanville,NE,82.42,11.86,3.39,46,12,2.48
28,East London,ZA,62.6,-33.02,27.91,82,75,12.75
29,Ponta do Sol,BR,81.88,-20.63,-46,60,64,12.66
30,Punta Arenas,CL,55.4,-53.16,-70.91,35,0,20.8
31,Kapaa,US,75.43,22.08,-159.32,71,90,20.8
32,Te Anau,NZ,41.56,-45.41,167.72,96,64,7.74
33,Luba,PH,70.72,17.32,120.7,84,0,4.16
34,Cascas,PE,66.2,-7.48,-78.82,59,75,5.82
35,Vardo,US,44.55,39.62,-77.74,57,75,9.17
36,Ilulissat,GL,21.2,69.22,-51.1,85,40,13.87
37,Kefamenanu,ID,65.86,-9.45,124.48,95,0,1.59
38,Vaini,IN,71.17,15.34,74.49,84,24,1.48
39,Busselton,AU,61.13,-33.64,115.35,100,32,11.21
40,Loreto,PY,93.26,-23.27,-57.32,60,48,13.56
41,Mahon,IE,48.2,51.89,-8.4,100,75,13.87
42,Cape Town,ZA,62.6,-33.93,18.42,63,20,25.28
43,Puerto Narino,CO,89.6,-3.77,-70.38,66,75,3.36
44,Tasiilaq,GL,39.2,65.61,-37.64,80,90,40.26
45,Port Shepstone,ZA,68.2,-30.74,30.45,91,88,14.67
46,Kasane,BW,84.2,-17.8,25.16,17,0,5.82
47,Georgetown,GY,87.8,6.8,-58.16,62,75,16.11
48,Bethel,US,33.98,60.79,-161.76,100,90,5.82
49,Bambanglipuro,ID,74.68,-7.95,110.28,96,76,2.04
50,Port Elizabeth,US,48.34,39.31,-74.98,51,90,11.41
51,Butaritari,KI,84.98,3.07,172.79,100,80,9.64
52,Stokmarknes,NO,35.6,68.56,14.91,93,40,6.93
53,Sao Miguel do Araguaia,BR,82.87,-13.28,-50.16,97,20,5.73
54,Dingle,PH,75.04,11,122.67,96,24,9.75
55,Tabas,IR,59,33.6,56.92,41,0,4.7
56,Airai,TL,68.96,-8.93,125.41,91,36,1.81
57,Iranshahr,IR,71.6,27.21,60.69,30,0,4.7
58,Tura,IN,57.71,25.52,90.21,81,0,2.37
59,Bredasdorp,ZA,60.8,-34.53,20.04,55,0,5.82
60,Tarandacuao,MX,68,20,-100.52,40,5,6.93
61,Iroquois Falls,CA,14,48.76,-80.69,72,90,11.41
62,Tautira,PF,84.2,-17.73,-149.15,74,20,10.29
63,Srednekolymsk,RU,-13.89,67.46,153.71,64,44,2.71
64,Hobart,AU,51.8,-42.88,147.33,71,75,4.7
65,Yaan,NG,89.66,7.38,8.57,51,44,3.6
66,Opuwo,NA,81.29,-18.06,13.84,15,0,4.61
67,Cherskiy,RU,-17.49,68.75,161.3,77,32,4.83
68,Taoudenni,ML,71.62,22.68,-3.98,30,20,3.15
69,Bakchar,RU,-0.03,57.02,82.07,76,76,2.59
70,Yook,PH,80.93,13.23,121.96,100,44,12.77
71,Yellowknife,CA,-11.21,62.45,-114.38,76,40,3.36
72,Zorritos,PE,89.6,-3.68,-80.68,33,75,10.29
73,Saint-Augustin,FR,49.78,44.83,-0.61,93,75,11.41
74,Bilibino,RU,-36.84,68.06,166.44,0,12,2.37
75,Port Alfred,ZA,65.41,-33.59,26.89,87,56,9.86
76,Misratah,LY,68.02,32.38,15.09,91,80,14.67
77,Fortuna,ES,61.45,38.18,-1.13,87,20,4.7
78,Kiiu,EE,44.6,59.45,25.39,87,75,12.75
79,Barrow,AR,65.18,-38.31,-60.23,100,36,18.48
80,Ancud,CL,53.98,-41.87,-73.83,88,80,7.52
81,Dikson,RU,3.94,73.51,80.55,91,12,7.63
82,Ostrovnoy,RU,35.39,68.05,39.51,98,92,30.89
83,Muros,ES,59,42.77,-9.06,67,0,3.36
84,Kruisfontein,ZA,62.08,-34,24.73,85,0,8.52
85,Guerrero Negro,MX,69.19,27.97,-114.04,49,0,2.93
86,Avarua,CK,77,-21.21,-159.78,88,75,2.24
87,Inhambane,MZ,77.33,-23.87,35.38,88,0,10.2
88,Puerto Escondido,MX,84.2,15.86,-97.07,70,40,8.05
89,Jijiang,CN,53.6,29.8,120.61,93,75,8.95
90,Hamilton,CA,35.67,43.26,-79.87,96,90,12.75
91,Atuona,PF,81.11,-9.8,-139.03,100,0,16.13
92,San Joaquin,PH,75.04,10.59,122.14,96,24,9.75
93,Turukhansk,RU,3.31,65.8,87.96,83,88,16.69
94,San Carlos del Zulia,VE,86.83,9,-71.91,78,36,1.59
95,Aykhal,RU,-22.26,65.95,111.51,31,24,2.71
96,Cidreira,BR,82.33,-30.17,-50.22,58,88,18.48
97,Tuktoyaktuk,CA,-2.21,69.44,-133.03,77,75,20.8
98,Esqueda,MX,64.33,30.72,-109.59,30,0,3.83
99,Ucluelet,CA,44.6,48.94,-125.55,100,20,2.24
100,Itaituba,BR,93.2,-4.26,-55.99,56,40,12.75
101,Boa Vista,BR,95,2.82,-60.67,41,75,9.17
102,Saint-Philippe,CA,36.1,45.36,-73.48,93,90,11.41
103,Isangel,VU,74.36,-19.55,169.27,100,92,11.54
104,Carnarvon,ZA,74.77,-30.97,22.13,10,36,9.86
105,Zapolyarnyy,RU,35.6,69.43,30.82,69,88,32.21
106,Port-Gentil,GA,82.4,-0.72,8.78,88,75,9.17
107,Panaba,MX,82.87,21.28,-88.27,56,12,7.74
108,Leningradskiy,RU,10.64,69.38,178.42,100,76,19.48
109,Teguise,ES,68,29.06,-13.56,82,40,11.41
110,Samarai,PG,79.27,-10.62,150.67,100,56,10.98
111,Faya,SA,60.84,18.39,42.45,82,40,3.15
112,Broome,GB,44.06,52.47,1.45,93,0,8.05
113,Shahreza,IR,24.86,32.01,51.87,77,0,3.71
114,Qaanaaq,GL,-6.01,77.48,-69.36,96,0,9.42
115,Iqaluit,CA,-4.01,63.75,-68.52,64,75,4.7
116,Kununurra,AU,75.2,-15.77,128.74,94,90,17.22
117,Aktau,KZ,39.2,43.65,51.16,29,0,6.71
118,Visby,SE,44.6,57.64,18.3,87,90,11.41
119,Ocos,GT,89.6,14.51,-92.19,55,20,6.93
120,Road Town,VG,85.41,18.42,-64.62,62,20,12.75
121,College,US,-0.33,64.86,-147.8,85,20,4.61
122,Leopold,US,48.25,38.1,-86.58,65,1,8.05
123,Ferme-Neuve,CA,27.97,46.7,-75.45,68,56,7.4
124,Bluff,AU,72.61,-23.58,149.07,75,92,10.76
125,Hambantota,LK,76.57,6.12,81.12,100,56,9.86
126,San Cristobal,EC,68,-0.39,-78.55,52,40,8.05
127,Beloha,MG,78.23,-25.17,45.06,46,0,10.65
128,Puerto Ayora,EC,82.4,-0.74,-90.35,54,20,23.04
129,Sobolevo,RU,26.17,54.43,31.9,88,92,10.76
130,Batemans Bay,AU,53.8,-35.71,150.18,100,32,2.71
131,Pancas,BR,84.53,-19.22,-40.85,52,32,9.08
132,Oranjemund,ZA,61.09,-28.55,16.43,93,0,27.09
133,Salalah,OM,80.6,17.01,54.1,74,0,4.7
134,Chik,RU,15.8,54.99,82.44,85,75,6.71
135,Vandra,IT,44.84,41.66,14.19,82,36,3.94
136,Porto Novo,BR,84.2,-23.68,-45.44,48,40,6.93
137,Khatanga,RU,7.13,71.98,102.47,78,68,8.63
